radius	n_rotors	profile	elevation	wind_speed	tension_with_snel	tension_without_snel	snel_boost_pct
2.0	4	uniform	55.0	10.0	568.5859588524662	571.3234239487824	-0.4791445583301727
2.0	4	uniform	55.0	12.0	826.353298928617	829.2882040560025	-0.35390653249751214
2.0	4	top_draggy	45.0	6.0	122.78131380643056	121.66726005025572	0.9156561557436821
2.0	4	top_draggy	45.0	8.0	359.3841034254007	361.72970645913495	-0.6484408086619801
2.0	4	top_draggy	45.0	10.0	568.6000454261396	571.3335696879644	-0.4784462889722708
2.0	4	top_draggy	45.0	12.0	826.6895153311542	829.818846913382	-0.3771102083144705
2.0	4	top_draggy	55.0	6.0	122.9177048756015	123.42952146661004	-0.4146630278778123
2.0	4	top_draggy	55.0	8.0	359.40818409393466	361.7612272949225	-0.6504409603491117
2.0	4	top_draggy	55.0	10.0	568.5859588524662	571.3234239487824	-0.4791445583301727
2.0	4	top_draggy	55.0	12.0	826.353298928617	829.2882040560025	-0.35390653249751214
2.0	4	bottom_lifty	45.0	6.0	122.78131380643056	121.66726005025572	0.9156561557436821
2.0	4	bottom_lifty	45.0	8.0	359.3841034254007	361.72970645913495	-0.6484408086619801
2.0	4	bottom_lifty	45.0	10.0	568.6000454261396	571.3335696879644	-0.4784462889722708
2.0	4	bottom_lifty	45.0	12.0	826.6895153311542	829.818846913382	-0.3771102083144705
2.0	4	bottom_lifty	55.0	6.0	122.9177048756015	123.42952146661004	-0.4146630278778123
2.0	4	bottom_lifty	55.0	8.0	359.40818409393466	361.7612272949225	-0.6504409603491117
2.0	4	bottom_lifty	55.0	10.0	568.5859588524662	571.3234239487824	-0.4791445583301727
2.0	4	bottom_lifty	55.0	12.0	826.353298928617	829.2882040560025	-0.35390653249751214
2.0	4	graded	45.0	6.0	122.78131380643056	121.66726005025572	0.9156561557436821
2.0	4	graded	45.0	8.0	359.3841034254007	361.72970645913495	-0.6484408086619801
2.0	4	graded	45.0	10.0	568.6000454261396	571.3335696879644	-0.4784462889722708
2.0	4	graded	45.0	12.0	826.6895153311542	829.818846913382	-0.3771102083144705
2.0	4	graded	55.0	6.0	122.9177048756015	123.42952146661004	-0.4146630278778123
2.0	4	graded	55.0	8.0	359.40818409393466	361.7612272949225	-0.6504409603491117
2.0	4	graded	55.0	10.0	568.5859588524662	571.3234239487824	-0.4791445583301727
2.0	4	graded	55.0	12.0	826.353298928617	829.2882040560025	-0.35390653249751214
3.0	1	uniform	45.0	6.0	80.40874719763548	84.33202397210486	-4.652179077033794
3.0	1	uniform	45.0	8.0	154.3971593540789	154.78930420225618	-0.2533410497568252
3.0	1	uniform	45.0	10.0	235.5169637230657	235.85270973171598	-0.1423541027076615
3.0	1	uniform	45.0	12.0	336.55484802901805	336.9031946975781	-0.10339666528622529
3.0	1	uniform	55.0	6.0	80.35050254564337	84.30647202254153	-4.692367480210096
3.0	1	uniform	55.0	8.0	154.52083590069117	154.8308430942452	-0.20022315151080203
3.0	1	uniform	55.0	10.0	235.50340814160637	235.83578832510096	-0.1409371265723269
3.0	1	uniform	55.0	12.0	336.58836566517436	336.9369705889054	-0.10346294831396698
