radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
1.5	2	15.0	top_draggy	45.0	12.0	1350.8583708180145	1411.3385175819367	0.0	1350.8583708180145	27.189233611099496	215355.03487794715
1.5	2	15.0	top_draggy	55.0	6.0	282.90893245226425	335.19359974229087	0.0	282.90893245226425	12.287280664334876	87343.64932003153
1.5	2	15.0	top_draggy	55.0	8.0	544.4275391121787	595.8997328751839	0.0	544.4275391121787	16.383040885779835	116458.19909337541
1.5	2	15.0	top_draggy	55.0	10.0	880.6657476749256	931.0933326174747	0.0	880.6657476749256	20.478801107224793	145572.74886671925
1.5	2	15.0	top_draggy	55.0	12.0	1291.6235581405053	1340.7743989691635	0.0	1291.6235581405053	24.574561328669752	174687.29864006306
1.5	2	15.0	bottom_lifty	45.0	6.0	287.5916826315619	352.83462939548417	0.0	287.5916826315619	13.594616805549748	107677.51743897358
1.5	2	15.0	bottom_lifty	45.0	8.0	563.2534166058274	627.2615633697496	0.0	563.2534166058274	18.126155740732997	143570.02325196477
1.5	2	15.0	bottom_lifty	45.0	10.0	917.6756460013115	980.0961927652338	0.0	917.6756460013115	22.657694675916247	179462.52906495595
1.5	2	15.0	bottom_lifty	45.0	12.0	1350.8583708180145	1411.3385175819367	0.0	1350.8583708180145	27.189233611099496	215355.03487794715
1.5	2	15.0	bottom_lifty	55.0	6.0	282.90893245226425	335.19359974229087	0.0	282.90893245226425	12.287280664334876	87343.64932003153
1.5	2	15.0	bottom_lifty	55.0	8.0	544.4275391121787	595.8997328751839	0.0	544.4275391121787	16.383040885779835	116458.19909337541
1.5	2	15.0	bottom_lifty	55.0	10.0	880.6657476749256	931.0933326174747	0.0	880.6657476749256	20.478801107224793	145572.74886671925
1.5	2	15.0	bottom_lifty	55.0	12.0	1291.6235581405053	1340.7743989691635	0.0	1291.6235581405053	24.574561328669752	174687.29864006306
1.5	2	15.0	graded	45.0	6.0	290.89434686927314	356.1372936331954	0.0	290.89434686927314	13.594616805549748	116652.48598600458
1.5	2	15.0	graded	45.0	8.0	569.1248196950918	633.132966459014	0.0	569.1248196950918	18.126155740732997	155536.64798133948
1.5	2	15.0	graded	45.0	10.0	926.8497133282872	989.2702600922095	0.0	926.8497133282872	22.657694675916247	194420.80997667433
1.5	2	15.0	graded	45.0	12.0	1364.0690277688593	1424.5491745327815	0.0	1364.0690277688593	27.189233611099496	233304.97197200917
1.5	2	15.0	graded	55.0	6.0	299.2368661214755	351.5215334115021	0.0	299.2368661214755	12.287280664334876	97883.05796676931
1.5	2	15.0	graded	55.0	8.0	573.454976746332	624.9271705093372	0.0	573.454976746332	16.383040885779835	130510.7439556924
1.5	2	15.0	graded	55.0	10.0	926.0211189782902	976.4487039208393	0.0	926.0211189782902	20.478801107224793	163138.42994461546
1.5	2	15.0	graded	55.0	12.0	1356.9352928173503	1406.0861336460084	0.0	1356.9352928173503	24.574561328669752	195766.11593353862
1.5	3	15.0	uniform	45.0	6.0	445.4238469576155	543.2882671034989	0.0	445.4238469576155	12.287280664334876	124739.65867798528
1.5	3	15.0	uniform	45.0	8.0	869.8335880381148	965.8458081839982	0.0	869.8335880381148	16.383040885779835	166319.54490398036
1.5	3	15.0	uniform	45.0	10.0	1415.5032551416136	1509.1340752874971	0.0	1415.5032551416136	20.478801107224793	207899.43112997548
1.5	3	15.0	uniform	45.0	12.0	2082.432848268112	2173.1530684139957	0.0	2082.432848268112	24.574561328669752	249479.31735597056
1.5	3	15.0	uniform	55.0	6.0	466.8362656973648	545.2632666324048	0.0	466.8362656973648	10.606601717798213	107677.51743897358
1.5	3	15.0	uniform	55.0	8.0	892.1486278131006	969.3569184576083	0.0	892.1486278131006	14.142135623730951	143570.02325196477
1.5	3	15.0	uniform	55.0	10.0	1438.9788076761895	1514.6201850900131	0.0	1438.9788076761895	17.67766952966369	179462.52906495595
1.5	3	15.0	uniform	55.0	12.0	2107.3268052866315	2181.053066529619	0.0	2107.3268052866315	21.213203435596427	215355.03487794715
1.5	3	15.0	top_draggy	45.0	6.0	436.0662982841004	533.9307184299838	0.0	436.0662982841004	13.594616805549748	107677.51743897358
1.5	3	15.0	top_draggy	45.0	8.0	853.1979459518657	949.210166097749	0.0	853.1979459518657	18.126155740732997	143570.02325196477
1.5	3	15.0	top_draggy	45.0	10.0	1389.5100643818494	1483.1408845277329	0.0	1389.5100643818494	22.657694675916247	179462.52906495595
1.5	3	15.0	top_draggy	45.0	12.0	2045.002653574052	2135.7228737199353	0.0	2045.002653574052	27.189233611099496	215355.03487794715
1.5	3	15.0	top_draggy	55.0	6.0	438.5210210180526	516.9480219530925	0.0	438.5210210180526	12.287280664334876	87343.64932003153
1.5	3	15.0	top_draggy	55.0	8.0	841.8104150498789	919.0187056943867	0.0	841.8104150498789	16.383040885779835	116458.19909337541
1.5	3	15.0	top_draggy	55.0	10.0	1360.3253502336556	1435.966727647479	0.0	1360.3253502336556	20.478801107224793	145572.74886671925
1.5	3	15.0	top_draggy	55.0	12.0	1994.0658265693828	2067.79208781237	0.0	1994.0658265693828	24.574561328669752	174687.29864006306
1.5	3	15.0	bottom_lifty	45.0	6.0	436.0662982841004	533.9307184299838	0.0	436.0662982841004	13.594616805549748	107677.51743897358
1.5	3	15.0	bottom_lifty	45.0	8.0	853.1979459518657	949.210166097749	0.0	853.1979459518657	18.126155740732997	143570.02325196477
1.5	3	15.0	bottom_lifty	45.0	10.0	1389.5100643818494	1483.1408845277329	0.0	1389.5100643818494	22.657694675916247	179462.52906495595
1.5	3	15.0	bottom_lifty	45.0	12.0	2045.002653574052	2135.7228737199353	0.0	2045.002653574052	27.189233611099496	215355.03487794715
1.5	3	15.0	bottom_lifty	55.0	6.0	438.52102101805247	516.9480219530924	0.0	438.52102101805247	12.287280664334876	87343.64932003153
1.5	3	15.0	bottom_lifty	55.0	8.0	841.8104150498789	919.0187056943867	0.0	841.8104150498789	16.383040885779835	116458.19909337541
1.5	3	15.0	bottom_lifty	55.0	10.0	1360.3253502336554	1435.966727647479	0.0	1360.3253502336554	20.478801107224793	145572.74886671925
1.5	3	15.0	bottom_lifty	55.0	12.0	1994.0658265693824	2067.7920878123696	0.0	1994.0658265693824	24.574561328669752	174687.29864006306
1.5	3	15.0	graded	45.0	6.0	437.4424083831468	535.3068285290301	0.0	437.4424083831468	13.594616805549748	116652.48598600458
1.5	3	15.0	graded	45.0	8.0	855.6443639057259	951.6565840516092	0.0	855.6443639057259	18.126155740732997	155536.64798133948
1.5	3	15.0	graded	45.0	10.0	1393.332592434756	1486.9634125806392	0.0	1393.332592434756	22.657694675916247	194420.80997667433
1.5	3	15.0	graded	45.0	12.0	2050.5070939702373	2141.2273141161204	0.0	2050.5070939702373	27.189233611099496	233304.97197200917
1.5	3	15.0	graded	55.0	6.0	454.6591108773506	533.0861118123905	0.0	454.6591108773506	12.287280664334876	97883.05796676931
