radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	2	30.0	bottom_lifty	45.0	21.828536755696256	2.1828536755696257	2.967810502309801	113.02424874579282	-49.1014614588233
0.5	2	30.0	bottom_lifty	55.0	31.003274117275133	3.1003274117275135	1.9996287641760722	118.27439664058788	-36.874265623079225
0.5	2	30.0	bottom_lifty	65.0	37.528435745572416	3.7528435745572417	1.4951442991914319	116.51572296790745	-23.90612098291039
0.5	2	30.0	graded	45.0	22.563278521594192	2.2563278521594192	2.8943001876221146	114.49373227758869	-48.93818551084598
0.5	2	30.0	graded	55.0	34.635739894630255	3.4635739894630255	1.8644164693257503	125.53932819529813	-36.0670510058892
0.5	2	30.0	graded	65.0	42.27769016006167	4.2277690160061665	1.406987185840643	126.01423179688595	-22.85073111302389
0.5	3	5.0	uniform	45.0	19.989457638610624	1.3326305092407082	4.408064007785451	144.02967812882173	-76.48626940933136
0.5	3	5.0	uniform	55.0	40.07782486200133	2.6718549908000884	2.206380474688558	164.5574223330591	-56.73963983771027
0.5	3	5.0	uniform	65.0	48.70436626801608	3.246957751201072	1.6174140561799957	159.59700975117607	-37.54546755221948
0.5	3	5.0	top_draggy	45.0	17.907689301899794	1.1938459534599863	4.837920488849865	139.86614145540005	-76.94888459526709
0.5	3	5.0	top_draggy	55.0	33.77854907127558	2.2519032714183718	2.4853671297899513	151.95887075160758	-58.139478902315986
0.5	3	5.0	top_draggy	65.0	43.17922450157778	2.8786149667718517	1.7334775367169784	148.54672621829945	-38.773276833650215
0.5	3	5.0	bottom_lifty	45.0	17.907689301899794	1.1938459534599863	4.837920488849865	139.86614145540005	-76.94888459526709
0.5	3	5.0	bottom_lifty	55.0	33.77854907127558	2.2519032714183718	2.4853671297899513	151.95887075160758	-58.139478902315986
0.5	3	5.0	bottom_lifty	65.0	43.17922450157778	2.8786149667718517	1.7334775367169784	148.54672621829945	-38.773276833650215
0.5	3	5.0	graded	45.0	18.21383170435727	1.2142554469571512	4.768543689858401	140.478426260315	-76.88085295027653
0.5	3	5.0	graded	55.0	37.36878040816058	2.4912520272107055	2.314833333763447	159.13933342537757	-57.34164971634154
0.5	3	5.0	graded	65.0	49.423991039447046	3.2949327359631364	1.6042073263134313	161.03625929403802	-37.385550936345936
0.5	3	10.0	uniform	45.0	23.164657638610628	1.5443105092407086	3.9012182322121522	150.38007812882174	-75.78066940933135
0.5	3	10.0	uniform	55.0	43.25302486200134	2.883534990800089	2.096558714763153	170.90782233305913	-56.03403983771027
0.5	3	10.0	uniform	65.0	51.879566268016085	3.4586377512010724	1.56190015451175	165.94740975117608	-36.839867552219474
0.5	3	10.0	top_draggy	45.0	21.082889301899797	1.4055259534599864	4.216288938366588	146.21654145540006	-76.24328459526708
0.5	3	10.0	top_draggy	55.0	36.95374907127558	2.463583271418372	2.3328531932784027	158.30927075160758	-57.43387890231598
0.5	3	10.0	top_draggy	65.0	46.35442450157778	3.090294966771852	1.6633965910742523	154.8971262182995	-38.06767683365021
0.5	3	10.0	bottom_lifty	45.0	21.082889301899797	1.4055259534599864	4.216288938366588	146.21654145540006	-76.24328459526708
