radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem	PC1	PC2	PC3
1.5	4	15.0	bottom_lifty	55.0	12.0	80.18314236795801	9.54929658551372	1.5	-2.7930799583545065	0.6634927766639923	1.2968113986755174
1.5	4	15.0	graded	45.0	10.0	2.7793073835928013	9.54929658551372	1.5	-2.750845755267294	-0.10327351097399465	1.4440190491598466
1.5	4	15.0	graded	45.0	12.0	81.03100573018187	9.54929658551372	1.5	-2.789110631059889	0.6687971884089662	1.5170663151670913
1.5	4	15.0	graded	55.0	10.0	2.7793073835928013	9.54929658551372	1.5	-2.752686882845596	-0.10715344289484377	1.2243065033547154
1.5	4	15.0	graded	55.0	12.0	81.03048251572054	9.54929658551372	1.5	-2.790951758638191	0.6649172564881173	1.2973537693619601
2.0	1	15.0	uniform	45.0	8.0	92.57913621711624	123.9241564766111	25.954614639282227	0.22991783608163863	0.06329223279451271	-1.1489678346953056
2.0	1	15.0	uniform	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066	0.7089161756467175	1.0009034690663217	-1.0244381356585066
2.0	1	15.0	uniform	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887	1.1919664024771877	1.9398114370086057	-0.8995051583513989
2.0	1	15.0	uniform	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475582	0.22830247348293287	0.05948455278492165	-1.368657910450185
2.0	1	15.0	uniform	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543	0.7073245777827067	0.9971033945210739	-1.2441258461449387
2.0	1	15.0	uniform	55.0	12.0	211.005633645862	170.1180008020524	35.62943077087402	1.1907193932662448	1.9361216416963305	-1.1191585724453412
2.0	1	15.0	top_draggy	45.0	8.0	92.57913621711624	123.9241564766111	25.954614639282227	0.23757201607719444	0.0682595399836262	-1.14710127741278
2.0	1	15.0	top_draggy	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066	0.7165703556422733	1.005870776255435	-1.022571578375981
2.0	1	15.0	top_draggy	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887	1.1996205824727435	1.9447787441977191	-0.8976386010688735
2.0	1	15.0	top_draggy	55.0	8.0	92.5955880852773	123.93419230123156	25.956716537475582	0.23595665347848868	0.06445185997403514	-1.3667913531676594
2.0	1	15.0	top_draggy	55.0	10.0	145.755639410314	146.92890751321215	30.77271842956543	0.7149787577782626	1.0020707017101873	-1.242259288862413
2.0	1	15.0	top_draggy	55.0	12.0	211.005633645862	170.1180008020524	35.62943077087402	1.1983735732618006	1.941088948885444	-1.1172920151628156
2.0	1	15.0	bottom_lifty	45.0	8.0	92.57913621711624	123.9241564766111	25.954614639282227	0.23577143348257096	0.06705994580863389	-1.147556304511595
2.0	1	15.0	bottom_lifty	45.0	10.0	145.73237088135008	146.91781528600004	30.77039527893066	0.7147697730476499	1.0046711820804428	-1.023026605474796
2.0	1	15.0	bottom_lifty	45.0	12.0	210.9376610685794	170.0915907372617	35.62389945983887	1.19781999987812	1.9435791500227269	-0.8980936281676885
