radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
2.0	4	15.0	top_draggy	45.0	12.0	795.641657251526	178.39280230227953	37.36250114440918
2.0	4	15.0	top_draggy	55.0	6.0	61.257772991301124	98.49284868703906	20.628293991088867
2.0	4	15.0	top_draggy	55.0	8.0	266.2219481300142	127.54391995682663	26.712736129760742
2.0	4	15.0	top_draggy	55.0	10.0	542.6460558138226	151.22899426243652	31.67332649230957
2.0	4	15.0	top_draggy	55.0	12.0	794.8687952439059	178.37906906858836	37.3596248626709
2.0	4	15.0	bottom_lifty	45.0	6.0	135.89839104104257	105.66370947901426	22.130155563354492
2.0	4	15.0	bottom_lifty	45.0	8.0	287.9479216216719	129.39473729736	27.100370407104492
2.0	4	15.0	bottom_lifty	45.0	10.0	589.0902703827237	155.84124797748717	32.639314651489265
2.0	4	15.0	bottom_lifty	45.0	12.0	870.1075838981278	182.3279019560962	38.18666648864746
2.0	4	15.0	bottom_lifty	55.0	6.0	138.20610202714715	105.73448845265338	22.14497947692871
2.0	4	15.0	bottom_lifty	55.0	8.0	348.1888744352747	129.36938363516091	27.095060348510742
2.0	4	15.0	bottom_lifty	55.0	10.0	589.207326710233	155.83702236712065	32.63842964172363
2.0	4	15.0	bottom_lifty	55.0	12.0	869.9390580431703	182.2983226835306	38.180471420288086
2.0	4	15.0	graded	45.0	6.0	138.99029052583333	105.04835496939057	22.00127601623535
2.0	4	15.0	graded	45.0	8.0	377.8257025458663	128.5681022694106	26.9272403717041
2.0	4	15.0	graded	45.0	10.0	600.3877136729042	154.81495285971994	32.424367904663086
2.0	4	15.0	graded	45.0	12.0	885.8572959861141	181.14525925476795	37.938974380493164
2.0	4	15.0	graded	55.0	6.0	139.08263041756726	105.15874904021577	22.024396896362305
2.0	4	15.0	graded	55.0	8.0	353.75215660328	128.53429738647847	26.9201602935791
2.0	4	15.0	graded	55.0	10.0	600.2672619709082	154.8054452363953	32.42237663269043
2.0	4	15.0	graded	55.0	12.0	885.6199973105679	181.0110961256311	37.91087532043457
3.0	1	15.0	uniform	45.0	6.0	82.48890931703657	66.80921305199404	20.98873329162598
3.0	1	15.0	uniform	45.0	8.0	157.08215843540117	83.03333477119995	26.085691452026367
3.0	1	15.0	uniform	45.0	10.0	238.90991659149887	99.27337538463144	31.187650680541992
3.0	1	15.0	uniform	45.0	12.0	340.7781500938117	115.53141126979618	36.29526329040527
3.0	1	15.0	uniform	55.0	6.0	82.43054505533814	66.7877571510813	20.981992721557617
3.0	1	15.0	uniform	55.0	8.0	157.20668014190153	83.0644804338152	26.095476150512695
3.0	1	15.0	uniform	55.0	10.0	238.89624553915363	99.27060688128786	31.18678092956543
3.0	1	15.0	uniform	55.0	12.0	340.8119988279227	115.53694827648334	36.2970027923584
3.0	1	15.0	top_draggy	45.0	6.0	82.48890931703657	66.80921305199404	20.98873329162598
3.0	1	15.0	top_draggy	45.0	8.0	157.08215843540117	83.03333477119995	26.085691452026367
3.0	1	15.0	top_draggy	45.0	10.0	238.90991659149887	99.27337538463144	31.187650680541992
3.0	1	15.0	top_draggy	45.0	12.0	340.7781500938117	115.53141126979618	36.29526329040527
3.0	1	15.0	top_draggy	55.0	6.0	82.43054505533814	66.7877571510813	20.981992721557617
3.0	1	15.0	top_draggy	55.0	8.0	157.20668014190153	83.0644804338152	26.095476150512695
3.0	1	15.0	top_draggy	55.0	10.0	238.89624553915363	99.27060688128786	31.18678092956543
3.0	1	15.0	top_draggy	55.0	12.0	340.8119988279227	115.53694827648334	36.2970027923584
3.0	1	15.0	bottom_lifty	45.0	6.0	82.48890931703657	66.80921305199404	20.98873329162598
3.0	1	15.0	bottom_lifty	45.0	8.0	157.08215843540117	83.03333477119995	26.085691452026367
3.0	1	15.0	bottom_lifty	45.0	10.0	238.90991659149887	99.27337538463144	31.187650680541992
